# time des_x des_y des_z pos_x pos_y pos_z des_vx des_vy des_vz vel_x vel_y vel_z err_x err_y err_z verr_x verr_y verr_z force_x force_y force_z kx0 kx1 kx2 kv0 kv1 kv2
1767437117.835999420 -15 1 1.5 -15 1 1.53504 0 0 0 0 0 -2.99744 0 0 -0.035037 0 0 2.99744 0 0 27.0729 15.7 15.7 15 6.4 6.4 6
1767437117.845477751 -15 1 1.5 -15 1 1.50459 0 0 0 0 0 -3.08919 0 0 -0.00459243 0 0 3.08919 0 0 28.0801 15.7 15.7 15 6.4 6.4 6
1767437117.855440153 -15 1 1.5 -15 1 1.47335 0 0 0 0 0 -3.1536 0 0 0.0266529 0 0 3.1536 0 0 28.9352 15.7 15.7 15 6.4 6.4 6
1767437117.865409101 -15 1 1.5 -15 1 1.44166 0 0 0 0 0 -3.17637 0 0 0.0583395 0 0 3.17637 0 0 29.5471 15.7 15.7 15 6.4 6.4 6
1767437117.875474326 -15 1 1.5 -15 1 1.40997 0 0 0 0 0 -3.15555 0 0 0.0900344 0 0 3.15555 0 0 29.1544 15.7 15.7 15 6.4 6.4 6
1767437117.885613219 -15 1 1.5 -15 1 1.37868 0 0 0 0 0 -3.09566 0 0 0.12132 0 0 3.09566 0 0 30.0075 15.7 15.7 15 6.4 6.4 6
1767437117.896222977 -15 1 1.5 -15 1 1.34816 0 0 0 0 0 -3.00278 0 0 0.151838 0 0 3.00278 0 0 29.9081 15.7 15.7 15 6.4 6.4 6
1767437117.905330181 -15 1 1.5 -15 1 1.3216 0 0 0 0 0 -2.89558 0 0 0.178395 0 0 2.89558 0 0 29.6632 15.7 15.7 15 6.4 6.4 6
1767437117.915577264 -15 1 1.5 -15 1 1.29058 0 0 0 0 0 -2.74116 0 0 0.209418 0 0 2.74116 0 0 29.202 15.7 15.7 15 6.4 6.4 6
1767437117.925568191 -15 1 1.5 -15 1 1.26394 0 0 0 0 0 -2.58441 0 0 0.236056 0 0 2.58441 0 0 28.6611 15.7 15.7 15 6.4 6.4 6
1767437117.935270422 -15 1 1.5 -15 1 1.24135 0 0 0 0 0 -2.43427 0 0 0.258645 0 0 2.43427 0 0 28.0991 15.7 15.7 15 6.4 6.4 6
1767437117.946001184 -15 1 1.5 -15 1 1.22243 0 0 0 0 0 -2.29619 0 0 0.277569 0 0 2.29619 0 0 27.5545 15.7 15.7 15 6.4 6.4 6
1767437117.955557370 -15 1 1.5 -15 1 1.20248 0 0 0 0 0 -2.13803 0 0 0.297525 0 0 2.13803 0 0 26.9048 15.7 15.7 15 6.4 6.4 6
1767437117.965884463 -15 1 1.5 -15 1 1.18594 0 0 0 0 0 -1.99648 0 0 0.314063 0 0 1.99648 0 0 26.3036 15.7 15.7 15 6.4 6.4 6
1767437117.975467353 -15 1 1.5 -15 1 1.16685 0 0 0 0 0 -1.82027 0 0 0.333145 0 0 1.82027 0 0 25.5326 15.7 15.7 15 6.4 6.4 6
